Reference, Value, Footprint, Order Code
J112,502382-0370,EPS_v3_Library:MOLEX_502382-0370,502494-0370
J111,502382-0370,EPS_v3_Library:MOLEX_502382-0370,502382-0370
J101,502382-0370,EPS_v3_Library:MOLEX_502382-0370,502382-0370
J102,502382-0370,EPS_v3_Library:MOLEX_502382-0370,502382-0370
J103,502382-0370,EPS_v3_Library:MOLEX_502382-0370,502382-0370
J104,502382-0370,EPS_v3_Library:MOLEX_502382-0370,502382-0370
J105,502382-0370,EPS_v3_Library:MOLEX_502382-0370,502382-0370
J106,502382-0370,EPS_v3_Library:MOLEX_502382-0370,502382-0370
J107,502382-0370,EPS_v3_Library:MOLEX_502382-0370,502382-0370
J108,502382-0370,EPS_v3_Library:MOLEX_502382-0370,502382-0370
J109,502382-0370,EPS_v3_Library:MOLEX_502382-0370,502382-0370
U201,STM32L412C8T6,EPS_v3_Library:STM32L412C8T6,STM32L412C8T6
U202,MCP1320T-29LE_OT,EPS_v3_Library:MCP1320T-29LE&slash_OT,MCP1320T-29LE/OT
L304,1 uH,Inductor_SMD:L_0603_1608Metric,DFE18SAN1R0MG0L
U307,TPS61288RQQR,EPS_v3_Library:TPS61288RQQR,TPS61288RQQR
R340,931 kΩ,Resistor_SMD:R_0603_1608Metric,CR0603-FX-9313ELF
R341,48.7 kΩ,Resistor_SMD:R_0603_1608Metric,ERJ-PB3B4872V
L303,2.7 uH,EPS_v3_Library:IND_LQH5BPN2R7NT0L,LQH5BPN2R7NT0L
C328,39 nF,Capacitor_SMD:C_0402_1005Metric,GCM155R72A392KA37J
R339,34 kΩ,Resistor_SMD:R_0603_1608Metric,ERJ-PB3B3402V
R336,931 kΩ,Resistor_SMD:R_0603_1608Metric,CR0603-FX-9313ELF
R337,48.7 kΩ,Resistor_SMD:R_0603_1608Metric,ERJ-PB3B4872V
L302,6 uH,EPS_v3_Library:PM628S-100,PM628S-6R0-RC
C320,62 pF,Capacitor_SMD:C_0402_1005Metric,GCM1555C1H620JA16D
R333,20.5 kΩ,Resistor_SMD:R_0603_1608Metric,ERJ-PB3D2052V
U303,TPS2121RUXR,EPS_v3_Library:TPS2121RUXR,TPS2121RUXR
R334,357 kΩ,Resistor_SMD:R_0603_1608Metric,ERJ-PA3F3573V
R335,48.7 kΩ,Resistor_SMD:R_0603_1608Metric,ERJ-PB3B4872V
L301,3.2 uH,EPS_v3_Library:IND_FP3-3R3-R,FP3-3R3-R
C319,62 pF,Capacitor_SMD:C_0402_1005Metric,GCM1555C1H620JA16D
R332,19.6 kΩ,Resistor_SMD:R_0603_1608Metric,ERJ-PB3B1962V
U308,TPS630242YFFR,EPS_v3_Library:TPS630242YFFR,TPS630242YFFR
U302,TPS2121RUXR,EPS_v3_Library:TPS2121RUXR,TPS2121RUXR
U306,TPS2121RUXR,EPS_v3_Library:TPS2121RUXR,TPS2121RUXR
U301,TPS2121RUXR,EPS_v3_Library:TPS2121RUXR,TPS2121RUXR
U305,TPS61288RQQR,EPS_v3_Library:TPS61288RQQR,TPS61288RQQR
U304,TPS61288RQQR,EPS_v3_Library:TPS61288RQQR,TPS61288RQQR
TP303,TestPoint,EPS_v3_Library:TESTPOINT_5013,5013
TP301,TestPoint,EPS_v3_Library:TESTPOINT_5013,5013
TP304,TestPoint,EPS_v3_Library:TESTPOINT_5013,5013
TP302,TestPoint,EPS_v3_Library:TESTPOINT_5013,5013
L401,3.3 uH,Inductor_SMD:L_0805_2012Metric,LQM21PN3R3MGRD
U401,LTC3128,EPS_v3_Library:LTC3128EFE-PBF,LTC3128IUFD#PBF
R403,142 kΩ,Resistor_SMD:R_0603_1608Metric,RN731JTTD1423B50
R402,3.57 kΩ,Resistor_SMD:R_0603_1608Metric,ERJ-UP3F3571V
R405,2.21 MΩ,Resistor_SMD:R_0603_1608Metric,MCT06030C2214FP500
R406,301 kΩ,Resistor_SMD:R_0603_1608Metric,ERJ-UP3F3013V
TP401,TestPoint,EPS_v3_Library:TESTPOINT_5013,5013
TP402,TestPoint,EPS_v3_Library:TESTPOINT_5013,5013
U501,LTC4013EUFD-PBF,EPS_v3_Library:LTC4013EUFD-PBF,LTC4013EUFD#PBF
R509,22 mΩ,Resistor_SMD:R_0815_2038Metric,ERJ-6CWDR022V
D501,1A,EPS_v3_Library:DO-214BA-2,LSM115JE3/TR13
L501,2.1 uH,EPS_v3_Library:NR10050T2R1N,NR10050T2R1N
R504,86.6 kΩ,Resistor_SMD:R_0603_1608Metric,ERJ-PA3F8662V
R506,3.36 kΩ,Resistor_SMD:R_0603_1608Metric,RN731JTTD3361D100
TP502,TestPoint,EPS_v3_Library:TESTPOINT_5013,5013
TP501,TestPoint,EPS_v3_Library:TESTPOINT_5013,5013
Q501,INFET,EPS_v3_Library:DMN1019USN-7(TSOT-26-6),DMN1019UVT-7
Q502,T_NMOS,EPS_v3_Library:DMN1019USN-7(TSOT-26-6),DMN1019UVT-7
Q503,B_NMOS,EPS_v3_Library:DMN1019USN-7(TSOT-26-6),DMN1019UVT-7
U601,SPV1040T,EPS_v3_Library:SPV1040T,SPV1040T
C601,100 uF,Capacitor_SMD:C_1210_3225Metric,JMK325ABJ107MM-P
L601,47 uH,EPS_v3_Library:NRS5020T4R7MMGJ,NRS5020T470MMGJV
D601,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
R610,33.2 mΩ,Resistor_SMD:R_0805_2012Metric,RCWH080533L2FNEA
C607,150 uF,Capacitor_SMD:C_1210_3225Metric,CL32A157MQVNNNE
D604,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
U602,SPV1040T,EPS_v3_Library:SPV1040T,SPV1040T
L602,47 uH,EPS_v3_Library:NRS5020T4R7MMGJ,NRS5020T470MMGJV
D602,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
R611,33.2 mΩ,Resistor_SMD:R_0805_2012Metric,RCWH080533L2FNEA
C608,150 uF,Capacitor_SMD:C_1210_3225Metric,CL32A157MQVNNNE
D605,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
U603,SPV1040T,EPS_v3_Library:SPV1040T,SPV1040T
L603,47 uH,EPS_v3_Library:NRS5020T4R7MMGJ,NRS5020T470MMGJV
D603,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
R612,33.2 mΩ,Resistor_SMD:R_0805_2012Metric,RCWH080533L2FNEA
C609,150 uF,Capacitor_SMD:C_1210_3225Metric,CL32A157MQVNNNE
D606,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
U604,SPV1040T,EPS_v3_Library:SPV1040T,SPV1040T
L604,47 uH,EPS_v3_Library:NRS5020T4R7MMGJ,NRS5020T470MMGJV
D607,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
R628,33.2 mΩ,Resistor_SMD:R_0805_2012Metric,RCWH080533L2FNEA
C616,150 uF,Capacitor_SMD:C_1210_3225Metric,CL32A157MQVNNNE
D610,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
U605,SPV1040T,EPS_v3_Library:SPV1040T,SPV1040T
L605,47 uH,EPS_v3_Library:NRS5020T4R7MMGJ,NRS5020T470MMGJV
D608,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
R629,33.2 mΩ,Resistor_SMD:R_0805_2012Metric,RCWH080533L2FNEA
C617,150 uF,Capacitor_SMD:C_1210_3225Metric,CL32A157MQVNNNE
D611,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
U606,SPV1040T,EPS_v3_Library:SPV1040T,SPV1040T
L606,47 uH,EPS_v3_Library:NRS5020T4R7MMGJ,NRS5020T470MMGJV
D609,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
R630,33.2 mΩ,Resistor_SMD:R_0805_2012Metric,RCWH080533L2FNEA
C618,150 uF,Capacitor_SMD:C_1210_3225Metric,CL32A157MQVNNNE
D612,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
U607,SPV1040T,EPS_v3_Library:SPV1040T,SPV1040T
L607,47 uH,EPS_v3_Library:NRS5020T4R7MMGJ,NRS5020T470MMGJV
D613,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
R646,33.2 mΩ,Resistor_SMD:R_0805_2012Metric,RCWH080533L2FNEA
C625,150 uF,Capacitor_SMD:C_1210_3225Metric,CL32A157MQVNNNE
D616,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
U608,SPV1040T,EPS_v3_Library:SPV1040T,SPV1040T
L608,47 uH,EPS_v3_Library:NRS5020T4R7MMGJ,NRS5020T470MMGJV
D614,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
R647,33.2 mΩ,Resistor_SMD:R_0805_2012Metric,RCWH080533L2FNEA
C626,150 uF,Capacitor_SMD:C_1210_3225Metric,CL32A157MQVNNNE
D617,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
U609,SPV1040T,EPS_v3_Library:SPV1040T,SPV1040T
L609,47 uH,EPS_v3_Library:NRS5020T4R7MMGJ,NRS5020T470MMGJV
D615,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
R648,33.2 mΩ,Resistor_SMD:R_0805_2012Metric,RCWH080533L2FNEA
C627,150 uF,Capacitor_SMD:C_1210_3225Metric,CL32A157MQVNNNE
D618,Vf=0.3V and If=3A,EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT
TP601,TestPoint,EPS_v3_Library:TESTPOINT_5013,5013
C602,100 uF,Capacitor_SMD:C_1210_3225Metric,JMK325ABJ107MM-P
C603,100 uF,Capacitor_SMD:C_1210_3225Metric,JMK325ABJ107MM-P
C610,100 uF,Capacitor_SMD:C_1210_3225Metric,JMK325ABJ107MM-P
C611,100 uF,Capacitor_SMD:C_1210_3225Metric,JMK325ABJ107MM-P
C612,100 uF,Capacitor_SMD:C_1210_3225Metric,JMK325ABJ107MM-P
C621,100 uF,Capacitor_SMD:C_1210_3225Metric,JMK325ABJ107MM-P
C620,100 uF,Capacitor_SMD:C_1210_3225Metric,JMK325ABJ107MM-P
C619,100 uF,Capacitor_SMD:C_1210_3225Metric,JMK325ABJ107MM-P